exercise_id,exercise_name,exercise_type,body_part,equipment,primary_muscle,secondary_muscle,movement_type,exercise_image
5111,Weighted + Hanging Toes To Bar,bilateral_simultaneous,abs,body weight,rectus abdominis,hip flexors,compound,https://apilyfta.com/static/GymvisualPNG/38911101-Hanging-Toes-to-Bar_Waist_small.png
5801,Weighted + Seated Tuck Crunch On Floor,bilateral_simultaneous,abs,dumbbell,rectus abdominis,hip flexors,isolation,https://apilyfta.com/static/GymvisualPNG/46231101-Weighted-Seated-Tuck-Crunch-on-Floor_Waist_small.png
3398,Body Weight + Weighted Front Plank,duration_based,abs,body weight,rectus abdominis,transverse abdominis,isometric,https://apilyfta.com/static/GymvisualPNG/21351101-Weighted-Front-Plank_Waist_small.png
2824,Weighted + Cobra Yoga Pose,bilateral_simultaneous,abs,body weight,erector spinae,rectus abdominis,isolation,https://apilyfta.com/static/GymvisualPNG/14821101-Cobra-Yoga-Pose_Waist_small.png
1626,Cable + Kneeling Crunch,bilateral_simultaneous,abs,cable,rectus abdominis,obliques,isolation,https://apilyfta.com/static/GymvisualPNG/01751101-Cable-Kneeling-Crunch_Waist-FIX_small.png
2837,Weighted + Oblique Crunch,bilateral_simultaneous,abs,body weight,obliques,rectus abdominis,isolation,https://apilyfta.com/static/GymvisualPNG/14951101-Oblique-Crunch-(Version-2)_Waist_small.png
5037,Body Weight + Front Plank Toe Tap,bilateral_simultaneous,abs,body weight,rectus abdominis,transverse abdominis,isolation,https://apilyfta.com/static/GymvisualPNG/38141101-Front-Plank-Toe-Tap-(male)_Hips_small.png
1894,Weighted + Elbow-To-Knee,bilateral_simultaneous,abs,body weight,obliques|rectus abdominis,hip flexors,compound,https://apilyfta.com/static/GymvisualPNG/04431101-Elbow-to-Knee_waist_small.png
5583,Body Weight + Hip Roll Plank,bilateral_simultaneous,abs,body weight,obliques|rectus abdominis,transverse abdominis,isolation,https://apilyfta.com/static/GymvisualPNG/43851101-Hip-Roll-Plank_Waist_small.png
5193,Weighted + Seated Side-To-Side Leg Raise Crunch On Floor,bilateral_simultaneous,abs,body weight,rectus abdominis|obliques,hip flexors,compound,https://apilyfta.com/static/GymvisualPNG/39781101-Seated-Side-to-Side-Leg-Raise-Crunch-on-Floor_Waist_small.png
